carat,cut_ord,color_ord,clarity_ord,depth,table,log_price,price
0.82,4,4,2,61.1,56.0,8.13973227971767,3428
0.71,3,4,4,62.2,58.0,7.94873845481361,2832
1.12,2,1,3,63.9,52.0,8.499843553081124,4914
0.7,4,6,1,62.1,56.0,7.853604813097837,2575
0.31,4,2,3,61.8,57.0,6.2285110035911835,507
0.7,4,4,3,62.8,56.0,7.8528278122817445,2573
0.52,4,6,0,61.1,57.0,6.878326468291325,971
0.83,4,0,3,61.5,57.0,7.714677473800927,2241
1.51,1,1,5,63.6,58.0,8.889446165318288,7255
1.17,1,2,1,63.8,58.0,8.481773246184977,4826
0.74,4,4,6,60.9,57.0,8.297294370266917,4013
0.7,3,5,3,60.8,58.0,7.89989532313973,2697
0.53,3,4,3,61.9,58.0,7.469083884921234,1753
0.36,3,4,2,61.5,58.0,6.396929655216146,600
0.31,4,6,4,60.5,57.0,6.641182169740591,766
0.45,3,3,1,62.0,62.0,6.688354713946762,803
1.22,4,3,6,61.5,56.0,9.399389249519563,12081
0.52,4,3,5,61.5,56.0,7.60688453121963,2012
0.51,4,2,1,61.7,55.0,7.268920128193722,1435
1.01,2,2,1,61.5,62.0,8.357493812658563,4262
1.51,3,5,1,58.8,62.0,9.091444217032327,8879
0.32,4,5,1,62.0,55.0,6.3561076606958915,576
1.0,0,3,4,64.9,65.0,8.40178233990491,4455
0.45,3,6,4,60.6,59.0,7.213768308118642,1358
0.79,4,6,2,61.2,57.0,8.190077049719049,3605
1.66,4,4,0,62.1,58.0,8.721765357145012,6135
1.7,3,1,5,62.1,59.0,9.373733918884618,11775
0.44,3,2,3,61.3,58.0,6.946975992135418,1040
0.5,4,5,3,62.2,54.0,7.465082736399547,1746
1.12,2,3,0,61.2,63.0,8.012018239159062,3017
1.58,4,4,2,61.9,55.0,9.581559041355757,14495
0.57,2,3,3,59.9,54.6,7.398174092970465,1633
0.7,0,3,3,64.9,57.0,7.8156105320351905,2479
1.2,4,6,3,61.4,55.0,9.151014905891367,9424
0.9,2,6,2,61.9,55.0,8.414938957377482,4514
0.38,4,5,4,62.7,55.0,6.907755278982137,1000
1.51,4,4,2,62.4,56.0,9.388486557359657,11950
1.09,4,6,2,62.7,56.0,8.721439305625983,6133
0.3,4,4,3,62.6,54.0,6.340359303727752,567
1.08,4,3,3,61.3,56.0,8.810757927026174,6706
0.26,4,3,5,61.4,56.0,6.300785794663244,545
0.7,4,0,3,61.6,56.0,7.570443252057374,1940
1.0,3,6,1,58.3,61.0,8.439447842791385,4626
1.29,2,3,4,62.3,58.0,9.116578992161708,9105
1.26,4,3,2,59.6,57.0,8.815518423966498,6738
0.31,4,3,4,62.3,54.0,6.373319789577012,586
0.3,4,4,4,62.0,55.0,6.738152494595957,844
0.31,3,2,6,61.8,58.0,6.810142450115136,907
0.32,2,2,4,58.9,63.0,6.436150368369428,624
1.01,3,3,2,62.6,60.0,8.518392471991719,5006
0.31,4,2,7,61.3,56.0,6.670766320845874,789
0.31,4,5,7,60.7,56.0,6.957497370876951,1051
0.32,3,6,3,62.0,57.0,6.879355804460439,972
2.01,3,1,4,62.9,59.0,9.809506489065233,18206
0.24,2,5,6,60.6,59.0,6.255750041753367,521
0.29,4,5,2,60.4,54.0,6.517671272912275,677
1.22,4,4,5,62.2,54.0,9.381769487603714,11870
1.06,2,6,1,60.9,58.0,8.405367376233981,4471
1.01,4,5,6,61.8,54.0,9.28628237555134,10789
1.7,4,2,1,61.9,59.0,9.19664704484418,9864
2.0,1,6,3,63.7,60.0,9.784704016546161,17760
0.35,3,6,3,59.7,58.0,6.720220155135295,829
1.51,1,1,4,62.0,56.0,9.166283985779263,9569
0.36,3,5,3,60.3,62.0,6.920671504248683,1013
0.41,4,4,5,61.8,55.0,6.950814768442584,1044
0.32,1,6,1,64.1,54.0,6.3473892096560105,571
2.09,4,2,1,62.0,59.0,9.654320816312682,15589
1.11,4,6,4,61.9,54.0,9.197255132427527,9870
1.1,2,6,1,61.6,57.0,8.561401446080557,5226
1.65,3,1,1,62.0,59.0,9.0583540149783,8590
0.47,1,4,4,59.0,60.2,7.1252830915107115,1243
0.42,4,2,1,61.4,56.0,6.437751649736401,625
0.54,1,6,1,59.1,65.0,7.227662498728654,1377
1.04,3,2,2,60.0,58.0,8.269244521183056,3902
0.9,2,6,1,63.5,58.0,8.273336598504486,3918
0.52,4,6,3,62.2,56.0,7.507690077819904,1822
1.01,4,4,1,60.8,55.0,8.34212526333359,4197
0.32,4,5,4,61.7,56.0,6.879355804460439,972
0.28,2,5,6,62.1,57.0,6.561030665896573,707
0.5,2,6,2,61.6,59.0,7.183870715062453,1318
1.26,3,3,1,59.1,59.0,8.682538124003075,5899
0.8,3,0,4,61.6,60.0,7.697121317282625,2202
0.74,2,5,1,63.0,58.0,7.732807530422021,2282
1.3,3,0,4,61.6,56.0,8.753687227098585,6334
1.01,3,6,5,62.4,58.0,9.298992069570746,10927
0.58,4,4,5,62.2,56.0,7.827639546366422,2509
1.2,4,0,2,62.5,55.0,8.419800845407588,4536
0.41,4,3,3,61.4,54.0,6.966967138613983,1061
0.31,4,4,3,62.2,56.0,6.618738983517219,749
0.32,4,3,1,61.6,56.0,6.1092475827643655,450
0.71,4,6,3,63.0,56.0,8.08487062913819,3245
4.01,3,1,0,61.0,61.0,9.630562721059254,15223
1.0,3,6,5,59.9,61.0,9.202106567049078,9918
2.04,2,0,3,63.0,58.0,9.518486617560317,13609
0.3,4,6,3,61.4,55.0,6.565264970035361,710
0.33,3,5,2,60.9,58.0,6.361302477572996,579
0.35,3,6,2,60.9,58.0,6.467698726104354,644
0.9,4,5,1,62.6,56.0,8.070906088787819,3200
0.39,4,5,4,59.9,57.0,6.790097235513905,889
0.51,4,6,2,60.4,55.0,7.430707082545968,1687
